global_acc_list,global_loss_list
0.844047619047619,"tf.Tensor(1.6915836, shape=(), dtype=float32)"
0.8454761904761905,"tf.Tensor(1.6875433, shape=(), dtype=float32)"
0.8821428571428571,"tf.Tensor(1.6576424, shape=(), dtype=float32)"
0.814047619047619,"tf.Tensor(1.7106938, shape=(), dtype=float32)"
0.8202380952380952,"tf.Tensor(1.6997589, shape=(), dtype=float32)"
0.795952380952381,"tf.Tensor(1.7096428, shape=(), dtype=float32)"
0.7947619047619048,"tf.Tensor(1.7246003, shape=(), dtype=float32)"
0.8192857142857143,"tf.Tensor(1.6920539, shape=(), dtype=float32)"
0.8252380952380952,"tf.Tensor(1.6987158, shape=(), dtype=float32)"
0.79,"tf.Tensor(1.7152274, shape=(), dtype=float32)"
0.7780952380952381,"tf.Tensor(1.7278434, shape=(), dtype=float32)"
0.8023809523809524,"tf.Tensor(1.7011073, shape=(), dtype=float32)"
0.814047619047619,"tf.Tensor(1.6864482, shape=(), dtype=float32)"
0.8035714285714286,"tf.Tensor(1.7073387, shape=(), dtype=float32)"
0.8288095238095238,"tf.Tensor(1.7005275, shape=(), dtype=float32)"
0.8509523809523809,"tf.Tensor(1.6771445, shape=(), dtype=float32)"
0.8385714285714285,"tf.Tensor(1.6833524, shape=(), dtype=float32)"
0.6997619047619048,"tf.Tensor(1.7783169, shape=(), dtype=float32)"
0.8092857142857143,"tf.Tensor(1.6993781, shape=(), dtype=float32)"
0.8680952380952381,"tf.Tensor(1.662073, shape=(), dtype=float32)"
0.8704761904761905,"tf.Tensor(1.6571614, shape=(), dtype=float32)"
0.8364285714285714,"tf.Tensor(1.689141, shape=(), dtype=float32)"
0.8633333333333333,"tf.Tensor(1.6664779, shape=(), dtype=float32)"
0.8578571428571429,"tf.Tensor(1.6648368, shape=(), dtype=float32)"
0.8811904761904762,"tf.Tensor(1.6512649, shape=(), dtype=float32)"
0.8797619047619047,"tf.Tensor(1.6482303, shape=(), dtype=float32)"
0.8592857142857143,"tf.Tensor(1.658428, shape=(), dtype=float32)"
0.8326190476190476,"tf.Tensor(1.6882635, shape=(), dtype=float32)"
0.7423809523809524,"tf.Tensor(1.7596726, shape=(), dtype=float32)"
0.6492857142857142,"tf.Tensor(1.829165, shape=(), dtype=float32)"
0.804047619047619,"tf.Tensor(1.7011486, shape=(), dtype=float32)"
0.8378571428571429,"tf.Tensor(1.6765107, shape=(), dtype=float32)"
0.8457142857142858,"tf.Tensor(1.6694496, shape=(), dtype=float32)"
0.8276190476190476,"tf.Tensor(1.69816, shape=(), dtype=float32)"
0.8535714285714285,"tf.Tensor(1.6665791, shape=(), dtype=float32)"
0.8590476190476191,"tf.Tensor(1.6629636, shape=(), dtype=float32)"
0.8457142857142858,"tf.Tensor(1.671775, shape=(), dtype=float32)"
0.8504761904761905,"tf.Tensor(1.6633465, shape=(), dtype=float32)"
0.8802380952380953,"tf.Tensor(1.6453527, shape=(), dtype=float32)"
0.8216666666666667,"tf.Tensor(1.7046025, shape=(), dtype=float32)"
